user,brand,model,start_year,curr_year,end_year,last_scraped
chris,mercedes-benz,g-klasse-(alle),2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,gl-(alle),2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,gla-(alle),2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,glb-(alle),2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,glc-(alle),2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,gle-(alle),2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,glk-(alle),2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,gls-(alle),2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,m-klasse-(alle),2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,r-klasse-(alle),2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,s-klasse-(alle),2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,sl-(alle),2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,slc-(alle),2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,slk-(alle),2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,sprinter,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,t-klasse-alle(),2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,v-klasse-(alle),2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,viano,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,vito,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,x-klasse-(alle),2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-200,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-220,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-230,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-240,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-250,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-260,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-270,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-280,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-290,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-300,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-320,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-350,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-36-amg,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-400,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-420,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-43-amg,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-430,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-450,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-50-amg,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-500,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-53-amg,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-55-amg,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-550,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-60-amg,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,e-63-amg,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,glc-200,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,glc-220,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,glc-250,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,glc-300,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,glc-300,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,glc-350,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,glc-400,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,glc-43-amg,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,glc-450,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,glc-63-amg,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,gle-250,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,gle-300,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,gle-350,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,gle-400,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,gle-43-amg,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,gle-450,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,gle-500,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,gle-53-amg,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,gle-580,2005.0,2005.0,2024.0,not yet scraped
chris,mercedes-benz,gle-63-amg,2005.0,2005.0,2024.0,not yet scraped
chris,mini,1000,2005.0,2005.0,2024.0,not yet scraped
chris,mini,1300,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-d,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-s,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-sd,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-se,2005.0,2005.0,2024.0,not yet scraped
chris,mini,john-cooper-works,2005.0,2005.0,2024.0,not yet scraped
chris,mini,one,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-cabrio,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-d-cabrio,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-s-cabrio,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-sd-cabrio,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-se-cabrio,2005.0,2005.0,2024.0,not yet scraped
chris,mini,john-cooper-works-cabrio,2005.0,2005.0,2024.0,not yet scraped
chris,mini,one-cabrio,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-clubman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-d-clubman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-s-clubman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-sd-clubman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-se-clubman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,john-cooper-works-clubman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,one-clubman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,one-d-clubman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,clubvan,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-countryman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-d-countryman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-s-countryman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-sd-countryman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-se-countryman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,john-cooper-works-countryman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,one-countryman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,one-d-countryman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-paceman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-d-paceman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-s-paceman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-sd-paceman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-se-paceman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,john-cooper-works-paceman,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-roadster,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-d-roadster,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-s-roadster,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-sd-roadster,2005.0,2005.0,2024.0,not yet scraped
chris,mini,cooper-se-roadster,2005.0,2005.0,2024.0,not yet scraped
chris,mini,john-cooper-works-roadster,2005.0,2005.0,2024.0,not yet scraped
chris,honda,accord,2005.0,2005.0,2024.0,not yet scraped
chris,honda,ascot,2005.0,2005.0,2024.0,not yet scraped
chris,honda,avancier,2005.0,2005.0,2024.0,not yet scraped
chris,honda,beat,2005.0,2005.0,2024.0,not yet scraped
chris,honda,capa,2005.0,2005.0,2024.0,not yet scraped
chris,honda,city,2005.0,2005.0,2024.0,not yet scraped
chris,honda,civic,2005.0,2005.0,2024.0,not yet scraped
chris,honda,clarity,2005.0,2005.0,2024.0,not yet scraped
chris,honda,concerto,2005.0,2005.0,2024.0,not yet scraped
chris,honda,cr-v,2005.0,2005.0,2024.0,not yet scraped
chris,honda,cr-z,2005.0,2005.0,2024.0,not yet scraped
chris,honda,crosstrou,2005.0,2005.0,2024.0,not yet scraped
chris,honda,crx,2005.0,2005.0,2024.0,not yet scraped
chris,honda,e,2005.0,2005.0,2024.0,not yet scraped
chris,honda,e%3Any1,2005.0,2005.0,2024.0,not yet scraped
chris,honda,element,2005.0,2005.0,2024.0,not yet scraped
chris,honda,fit,2005.0,2005.0,2024.0,not yet scraped
chris,honda,fr-v,2005.0,2005.0,2024.0,not yet scraped
chris,honda,hr-v,2005.0,2005.0,2024.0,not yet scraped
chris,honda,insight,2005.0,2005.0,2024.0,not yet scraped
chris,honda,inspire,2005.0,2005.0,2024.0,not yet scraped
chris,honda,integra,2005.0,2005.0,2024.0,not yet scraped
chris,honda,jazz,2005.0,2005.0,2024.0,not yet scraped
chris,honda,legend,2005.0,2005.0,2024.0,not yet scraped
chris,honda,life,2005.0,2005.0,2024.0,not yet scraped
chris,honda,logo,2005.0,2005.0,2024.0,not yet scraped
chris,honda,mobilio,2005.0,2005.0,2024.0,not yet scraped
chris,honda,nsx,2005.0,2005.0,2024.0,not yet scraped
chris,honda,odyssey,2005.0,2005.0,2024.0,not yet scraped
chris,honda,orthia,2005.0,2005.0,2024.0,not yet scraped
chris,honda,partner,2005.0,2005.0,2024.0,not yet scraped
chris,honda,pilot,2005.0,2005.0,2024.0,not yet scraped
chris,honda,prelude,2005.0,2005.0,2024.0,not yet scraped
chris,honda,quintet,2005.0,2005.0,2024.0,not yet scraped
chris,honda,ridgeline,2005.0,2005.0,2024.0,not yet scraped
chris,honda,s-2000,2005.0,2005.0,2024.0,not yet scraped
chris,honda,saber,2005.0,2005.0,2024.0,not yet scraped
chris,honda,sabre,2005.0,2005.0,2024.0,not yet scraped
chris,honda,shuttle,2005.0,2005.0,2024.0,not yet scraped
chris,honda,sm-x,2005.0,2005.0,2024.0,not yet scraped
chris,honda,stepwgn,2005.0,2005.0,2024.0,not yet scraped
chris,honda,stream,2005.0,2005.0,2024.0,not yet scraped
chris,honda,torneo,2005.0,2005.0,2024.0,not yet scraped
chris,honda,zr-v,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,accent,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,atos,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,avente,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,azera,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,bayon,2005.0,2005.0,2024.0,not yet scraped
chris,hyundai,coupe,2005.0,2005.0,2024.0,not yet scraped
